Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,276436619,3546.5416338605683,4854080,62.27538477487281,822278,5374744,68.95523985316245,46082,0.5912086906675813,8008,
United States of America,Americas,51092599,15435.707,1134784,342.832,201750,803744,242.821,9277,2.803,2194
India,South-East Asia,34765976,2519.266,47374,3.433,7495,478759,34.693,2281,0.165,434
Brazil,Americas,22219477,10453.302,23702,11.151,3621,617948,290.718,978,0.46,75
The United Kingdom,Europe,11647477,17157.406,637187,938.613,105330,147573,217.384,782,1.152,140
Russian Federation,Europe,10318650,7070.743,187004,128.142,25667,301271,206.443,7247,4.966,1002
Turkey,Europe,9228835,10942.539,128511,152.374,19095,80957,95.99,1261,1.495,179
France,Europe,8549169,13144.608,392328,603.216,79567,119552,183.815,1106,1.701,162
Germany,Europe,6923636,8325.009,253229,304.484,44927,109749,131.963,2547,3.063,425
Iran (Islamic Republic of),Eastern Mediterranean,6177885,7355.242,14931,17.776,2103,131211,156.217,328,0.391,44
Spain,Europe,5645095,11926.438,222609,470.308,32515,88937,187.898,247,0.522,10
Italy,Europe,5472469,9175.608,190393,319.229,36326,136077,228.158,899,1.507,146
Argentina,Americas,5404380,11957.711,37858,83.764,9336,116953,258.77,127,0.281,23
Colombia,Americas,5110788,10044.217,13108,25.761,1766,129534,254.573,329,0.647,47
Indonesia,South-East Asia,4261208,1557.894,1351,0.494,136,144042,52.662,63,0.023,8
Poland,Europe,4017420,10583.817,113975,300.265,17150,93445,246.179,3139,8.27,616
Mexico,Americas,3937082,3053.593,8799,6.824,2980,298161,231.253,465,0.361,245
Ukraine,Europe,3630391,8301.118,42244,96.594,7312,94184,215.358,1871,4.278,275
South Africa,Africa,3353106,5653.65,122075,205.83,21098,90587,152.738,361,0.609,99
Netherlands,Europe,3014805,17318.916,94765,544.389,13460,20581,118.23,328,1.884,48
Philippines,Western Pacific,2837784,2589.666,1057,0.965,233,50916,46.464,467,0.426,132
Malaysia,Western Pacific,2728203,8429.225,25063,77.436,3519,31221,96.462,232,0.717,29
Czechia,Europe,2435208,22771.852,56399,527.392,7730,35585,332.759,550,5.143,91
Peru,Americas,2267715,6877.73,10919,33.116,1510,202338,613.669,436,1.322,43
